epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.779,1.17726,2.20204,1.15183,0.77158,0.73576,0.8054,0.60013,0.97271,0.99207,1.13754,7.22398e-05,7.22398e-05,7.22398e-05
2,511.825,1.00904,1.08391,1.06602,0.86249,0.8389,0.88661,0.65842,0.95257,0.75634,1.11813,0.000139802,0.000139802,0.000139802
3,764.409,0.97066,0.91477,1.04755,0.88655,0.84545,0.89538,0.67991,0.91319,0.71565,1.11015,0.000202591,0.000202591,0.000202591
4,1016.42,0.94395,0.82478,1.03139,0.91925,0.864,0.90985,0.69645,0.89293,0.65609,1.10272,0.000195517,0.000195517,0.000195517
5,1268.67,0.92203,0.77511,1.01658,0.93031,0.88471,0.92307,0.71937,0.8813,0.61121,1.09243,0.000188356,0.000188356,0.000188356
6,1520.86,0.89442,0.73009,1.00945,0.94293,0.88152,0.92494,0.72579,0.84904,0.58928,1.07267,0.000181195,0.000181195,0.000181195
7,1772.82,0.8787,0.69629,1.00004,0.93755,0.88611,0.92752,0.70154,0.93297,0.58789,1.0894,0.000174034,0.000174034,0.000174034
8,2024.63,0.87162,0.67221,0.99518,0.94776,0.89194,0.93426,0.73151,0.85024,0.54755,1.06811,0.000166873,0.000166873,0.000166873
9,2276.54,0.85371,0.64025,0.9834,0.94448,0.89987,0.93486,0.73631,0.83616,0.51886,1.05494,0.000159712,0.000159712,0.000159712
10,2528.88,0.82581,0.63394,0.98102,0.94781,0.89134,0.9339,0.73595,0.84407,0.50836,1.0587,0.000152551,0.000152551,0.000152551
11,2780.74,0.83123,0.61097,0.97645,0.94871,0.88998,0.93287,0.73923,0.82907,0.53462,1.04724,0.00014539,0.00014539,0.00014539
12,3033.12,0.81081,0.5912,0.9666,0.94683,0.90535,0.93841,0.73987,0.84417,0.51208,1.06016,0.000138229,0.000138229,0.000138229
13,3285.32,0.80307,0.58527,0.96581,0.95108,0.90028,0.93535,0.74719,0.81784,0.51142,1.02778,0.000131068,0.000131068,0.000131068
14,3537.31,0.79228,0.55914,0.96067,0.94998,0.90656,0.9392,0.74058,0.83561,0.48626,1.03762,0.000123907,0.000123907,0.000123907
15,3789.34,0.77795,0.54663,0.95244,0.95233,0.90662,0.94019,0.74569,0.82638,0.49932,1.02376,0.000116746,0.000116746,0.000116746
16,4041.1,0.77037,0.53082,0.94794,0.95423,0.89939,0.93492,0.75111,0.80577,0.49952,1.02881,0.000109585,0.000109585,0.000109585
17,4293.54,0.76118,0.5203,0.94373,0.95618,0.89059,0.93445,0.74843,0.81133,0.50225,1.03196,0.000102424,0.000102424,0.000102424
18,4545.57,0.75058,0.51239,0.94155,0.96164,0.90013,0.94094,0.75277,0.80624,0.48096,1.03069,9.5263e-05,9.5263e-05,9.5263e-05
19,4797.7,0.73828,0.49687,0.93629,0.95551,0.90425,0.93797,0.7512,0.81878,0.4783,1.03148,8.8102e-05,8.8102e-05,8.8102e-05
20,5049.89,0.72842,0.48463,0.93113,0.9584,0.89897,0.9391,0.75224,0.81003,0.47448,1.03679,8.0941e-05,8.0941e-05,8.0941e-05
21,5300.24,0.69438,0.3806,0.91829,0.95688,0.90488,0.94056,0.75006,0.82401,0.47156,1.05531,7.378e-05,7.378e-05,7.378e-05
22,5550.15,0.68374,0.36879,0.91573,0.95583,0.89638,0.93874,0.74946,0.82785,0.48358,1.05549,6.6619e-05,6.6619e-05,6.6619e-05
23,5799.85,0.66615,0.35566,0.90508,0.95649,0.89818,0.9377,0.75003,0.81546,0.47435,1.05633,5.9458e-05,5.9458e-05,5.9458e-05
24,6049.84,0.6564,0.34781,0.90397,0.9616,0.89095,0.93577,0.7478,0.8245,0.47336,1.06209,5.2297e-05,5.2297e-05,5.2297e-05
25,6299.77,0.64248,0.34111,0.90266,0.96047,0.89311,0.93413,0.74603,0.81185,0.46877,1.06194,4.5136e-05,4.5136e-05,4.5136e-05
26,6549.76,0.63351,0.33375,0.8935,0.96082,0.904,0.9396,0.75297,0.80953,0.45854,1.07195,3.7975e-05,3.7975e-05,3.7975e-05
27,6799.67,0.62169,0.32615,0.89239,0.96269,0.89612,0.93918,0.75156,0.806,0.44819,1.05924,3.0814e-05,3.0814e-05,3.0814e-05
28,7049.6,0.61235,0.32112,0.89108,0.96001,0.8987,0.93795,0.75072,0.80966,0.46097,1.05444,2.3653e-05,2.3653e-05,2.3653e-05
29,7301.73,0.60562,0.31321,0.8849,0.9596,0.90114,0.93892,0.75041,0.81436,0.4518,1.06012,1.6492e-05,1.6492e-05,1.6492e-05
30,7551.59,0.59726,0.3089,0.88131,0.95975,0.89918,0.93786,0.75084,0.81067,0.45429,1.05888,9.331e-06,9.331e-06,9.331e-06
