epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.189,1.58601,2.28888,1.33355,0.77131,0.728,0.78003,0.36483,1.70015,1.19674,1.33379,7.22414e-05,7.22414e-05,7.22414e-05
2,518.713,1.31799,1.29593,1.20147,0.86665,0.8445,0.8938,0.60679,1.10053,0.76089,1.08945,0.000143143,0.000143143,0.000143143
3,773.846,1.27057,1.11581,1.1864,0.89687,0.85994,0.91244,0.59345,1.21046,0.76048,1.15827,0.000212613,0.000212613,0.000212613
4,1028.26,1.26119,1.04225,1.17972,0.91826,0.87544,0.92818,0.64669,1.07017,0.67759,1.10012,0.000210555,0.000210555,0.000210555
5,1282.76,1.22076,0.97378,1.16095,0.92211,0.8818,0.93192,0.63542,1.08627,0.65889,1.09462,0.000208407,0.000208407,0.000208407
6,1537.15,1.19434,0.92753,1.14867,0.92362,0.89443,0.93827,0.63204,1.133,0.65137,1.09478,0.000206258,0.000206258,0.000206258
7,1791.53,1.16332,0.87189,1.13282,0.91967,0.89791,0.93528,0.66296,1.0024,0.60154,1.06634,0.00020411,0.00020411,0.00020411
8,2046.27,1.14027,0.83181,1.12235,0.94209,0.91476,0.95283,0.66546,1.06071,0.55111,1.08044,0.000201962,0.000201962,0.000201962
9,2300.71,1.12464,0.80911,1.11484,0.94608,0.91616,0.95233,0.683,1.00118,0.53348,1.06102,0.000199814,0.000199814,0.000199814
10,2554.88,1.12009,0.79885,1.11401,0.94332,0.90242,0.94843,0.71127,0.90259,0.52742,1.02326,0.000197665,0.000197665,0.000197665
11,2809.23,1.10026,0.77873,1.104,0.94908,0.91938,0.95758,0.70517,0.95742,0.51441,1.0401,0.000195517,0.000195517,0.000195517
12,3063.15,1.08546,0.75739,1.09886,0.94741,0.91406,0.95354,0.7113,0.91663,0.5067,1.02908,0.000193369,0.000193369,0.000193369
13,3317.4,1.08708,0.74604,1.09883,0.94848,0.91226,0.95327,0.7195,0.88317,0.50055,1.00914,0.00019122,0.00019122,0.00019122
14,3572.01,1.05645,0.72633,1.08114,0.94709,0.9271,0.95727,0.70114,0.94322,0.49655,1.02972,0.000189072,0.000189072,0.000189072
15,3826.48,1.05386,0.70505,1.07772,0.93918,0.91406,0.95506,0.7076,0.92477,0.49171,1.02443,0.000186924,0.000186924,0.000186924
16,4080.97,1.04066,0.71049,1.07277,0.95434,0.93156,0.9613,0.73764,0.85527,0.46817,0.99712,0.000184775,0.000184775,0.000184775
17,4335.54,1.03376,0.69194,1.06934,0.95501,0.92879,0.95811,0.70929,0.92202,0.47473,1.02236,0.000182627,0.000182627,0.000182627
18,4590.06,1.03078,0.68876,1.06936,0.94501,0.92698,0.95403,0.72024,0.89418,0.49189,1.0058,0.000180479,0.000180479,0.000180479
19,4844.67,1.01761,0.67767,1.06442,0.94499,0.9259,0.95618,0.71267,0.93231,0.48582,1.03478,0.000178331,0.000178331,0.000178331
20,5099.09,1.00982,0.66268,1.05852,0.95814,0.92553,0.96219,0.73048,0.86926,0.45506,0.99797,0.000176182,0.000176182,0.000176182
21,5353.6,0.99779,0.65809,1.05527,0.95052,0.93205,0.96218,0.73779,0.85603,0.45166,0.9921,0.000174034,0.000174034,0.000174034
22,5607.37,0.98719,0.64965,1.05127,0.96156,0.9258,0.9622,0.74184,0.85898,0.44338,0.99849,0.000171886,0.000171886,0.000171886
23,5861.57,0.98404,0.63838,1.04691,0.95169,0.93485,0.96113,0.73687,0.8613,0.45516,0.99517,0.000169737,0.000169737,0.000169737
24,6118.88,0.98072,0.63168,1.0467,0.95786,0.93118,0.962,0.73171,0.88987,0.44827,1.01091,0.000167589,0.000167589,0.000167589
25,6373.37,0.97842,0.63369,1.04499,0.95767,0.92802,0.96418,0.7445,0.8448,0.45767,0.98781,0.000165441,0.000165441,0.000165441
26,6630.31,0.96777,0.62005,1.03776,0.95986,0.9343,0.96188,0.73674,0.86861,0.42891,0.99851,0.000163292,0.000163292,0.000163292
27,6884.36,0.96921,0.61923,1.04276,0.9583,0.93588,0.96556,0.7478,0.8415,0.43627,0.98415,0.000161144,0.000161144,0.000161144
28,7138.74,0.96639,0.61722,1.03381,0.96006,0.93309,0.96416,0.74287,0.84921,0.43117,0.98699,0.000158996,0.000158996,0.000158996
29,7393.52,0.94607,0.61134,1.03381,0.96142,0.93388,0.96548,0.74843,0.83958,0.42413,0.9858,0.000156848,0.000156848,0.000156848
30,7648.16,0.94714,0.60219,1.02714,0.96393,0.94277,0.96826,0.75069,0.83644,0.41579,0.98159,0.000154699,0.000154699,0.000154699
31,7902.54,0.9483,0.60189,1.03168,0.95986,0.94295,0.96854,0.74681,0.85599,0.42352,0.99422,0.000152551,0.000152551,0.000152551
32,8156.68,0.94309,0.59573,1.02851,0.9641,0.93509,0.96505,0.74468,0.84075,0.41544,0.98824,0.000150403,0.000150403,0.000150403
33,8411.15,0.93659,0.58459,1.0256,0.96321,0.93516,0.96499,0.74381,0.85464,0.4246,1.00115,0.000148254,0.000148254,0.000148254
34,8665.54,0.92762,0.57779,1.02402,0.96175,0.9353,0.96659,0.75361,0.83133,0.42342,0.98384,0.000146106,0.000146106,0.000146106
35,8919.83,0.9116,0.57061,1.01862,0.95941,0.93628,0.96617,0.75081,0.84381,0.42199,0.99276,0.000143958,0.000143958,0.000143958
36,9174.09,0.91876,0.57084,1.02453,0.96,0.93648,0.9656,0.74725,0.84417,0.41299,0.99112,0.000141809,0.000141809,0.000141809
37,9428.31,0.91169,0.5703,1.01722,0.95875,0.93194,0.96357,0.75197,0.81357,0.41415,0.97704,0.000139661,0.000139661,0.000139661
38,9682.57,0.90918,0.55854,1.01464,0.96399,0.93317,0.96508,0.74961,0.84104,0.42096,0.98793,0.000137513,0.000137513,0.000137513
39,9936.62,0.90225,0.55646,1.00824,0.95816,0.94024,0.9667,0.75222,0.83741,0.42056,0.98939,0.000135365,0.000135365,0.000135365
40,10190.9,0.89783,0.54801,1.00657,0.95843,0.93891,0.96771,0.74846,0.83818,0.40985,0.99232,0.000133216,0.000133216,0.000133216
41,10445.4,0.89579,0.55061,1.0065,0.96064,0.9426,0.96553,0.7472,0.83839,0.40609,0.98715,0.000131068,0.000131068,0.000131068
42,10699.4,0.88171,0.53683,0.99959,0.96381,0.93964,0.96578,0.74664,0.83598,0.40541,0.99889,0.00012892,0.00012892,0.00012892
43,10954,0.88796,0.54807,1.0026,0.96292,0.93846,0.9667,0.74122,0.84246,0.40576,1.00318,0.000126771,0.000126771,0.000126771
44,11208.4,0.88382,0.54548,1.00243,0.964,0.94055,0.96781,0.74965,0.83526,0.40524,0.98986,0.000124623,0.000124623,0.000124623
45,11462.7,0.87872,0.53548,1.00162,0.96896,0.93424,0.96902,0.75637,0.81831,0.39485,0.98067,0.000122475,0.000122475,0.000122475
