epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.547,1.18141,2.23857,1.15212,0.73005,0.73971,0.78857,0.58907,0.95896,1.03875,1.10969,7.09082e-05,7.09082e-05,7.09082e-05
2,531.818,1.00719,1.08867,1.057,0.85967,0.82529,0.87342,0.65539,0.94235,0.79548,1.10015,0.000140503,0.000140503,0.000140503
3,795.455,0.97242,0.92626,1.0425,0.8948,0.84305,0.8949,0.6785,0.92424,0.71204,1.11566,0.000208693,0.000208693,0.000208693
4,1059.36,0.94549,0.83117,1.02492,0.92343,0.86985,0.91339,0.7036,0.88256,0.63932,1.08119,0.000206674,0.000206674,0.000206674
5,1323.44,0.9249,0.78004,1.01028,0.93571,0.87459,0.91894,0.71559,0.87659,0.58937,1.07845,0.000204565,0.000204565,0.000204565
6,1587.7,0.9028,0.73656,1.00403,0.93466,0.88347,0.92051,0.72127,0.85492,0.58204,1.07139,0.000202457,0.000202457,0.000202457
7,1851.43,0.88834,0.70761,0.99773,0.92647,0.88271,0.92109,0.71555,0.86515,0.56936,1.06489,0.000200348,0.000200348,0.000200348
8,2114.23,0.8836,0.68844,0.99409,0.94805,0.89605,0.93169,0.73583,0.83279,0.53398,1.04528,0.000198239,0.000198239,0.000198239
9,2377.76,0.86626,0.65535,0.98292,0.94738,0.89383,0.93248,0.73563,0.83833,0.52064,1.05405,0.00019613,0.00019613,0.00019613
10,2640.9,0.8414,0.6495,0.97983,0.94213,0.88967,0.92894,0.73412,0.83304,0.52901,1.04008,0.000194022,0.000194022,0.000194022
11,2903.99,0.84545,0.62936,0.97876,0.94917,0.89498,0.93336,0.74051,0.82011,0.51539,1.03688,0.000191913,0.000191913,0.000191913
12,3168.47,0.83022,0.61,0.96812,0.95555,0.89767,0.93706,0.73502,0.84962,0.50911,1.05352,0.000189804,0.000189804,0.000189804
13,3432.01,0.82557,0.60963,0.96813,0.95136,0.90114,0.93653,0.7449,0.81527,0.49187,1.03362,0.000187696,0.000187696,0.000187696
14,3696.08,0.81601,0.58744,0.96485,0.95222,0.90433,0.93617,0.73699,0.84178,0.50817,1.03747,0.000185587,0.000185587,0.000185587
15,3959.5,0.80768,0.57976,0.96005,0.95509,0.89782,0.9399,0.74887,0.81724,0.48167,1.02254,0.000183478,0.000183478,0.000183478
16,4223.35,0.80265,0.56478,0.95796,0.95312,0.8949,0.93537,0.74531,0.8149,0.49628,1.02964,0.000181369,0.000181369,0.000181369
17,4487.15,0.79349,0.5581,0.95122,0.95357,0.89645,0.93665,0.74675,0.81686,0.49806,1.04375,0.000179261,0.000179261,0.000179261
18,4750.73,0.7868,0.55266,0.95287,0.95631,0.89964,0.93862,0.74655,0.81553,0.4834,1.02766,0.000177152,0.000177152,0.000177152
19,5014.22,0.77745,0.54227,0.95067,0.95211,0.89722,0.93413,0.74494,0.82782,0.49897,1.04102,0.000175043,0.000175043,0.000175043
20,5278.19,0.76899,0.53052,0.9458,0.95703,0.89483,0.93926,0.75443,0.79919,0.47707,1.02814,0.000172935,0.000172935,0.000172935
21,5541.97,0.76462,0.5244,0.94226,0.95565,0.90753,0.94079,0.75092,0.82266,0.49573,1.03131,0.000170826,0.000170826,0.000170826
22,5805.17,0.76186,0.51812,0.94312,0.95965,0.89723,0.93817,0.74786,0.8079,0.49347,1.02202,0.000168717,0.000168717,0.000168717
23,6068.39,0.75387,0.51122,0.9403,0.96315,0.89331,0.93927,0.75386,0.79404,0.47442,1.01937,0.000166609,0.000166609,0.000166609
24,6332.37,0.75568,0.51,0.94093,0.96223,0.90074,0.93759,0.74588,0.82218,0.50537,1.03493,0.0001645,0.0001645,0.0001645
25,6596.1,0.74876,0.50412,0.93364,0.95777,0.89832,0.93612,0.7453,0.81189,0.49121,1.04807,0.000162391,0.000162391,0.000162391
26,6859.56,0.73644,0.49346,0.92741,0.96174,0.90222,0.93997,0.75207,0.81524,0.47363,1.03041,0.000160282,0.000160282,0.000160282
27,7122.76,0.73992,0.49706,0.9326,0.96514,0.89835,0.93842,0.75354,0.80037,0.46442,1.02836,0.000158174,0.000158174,0.000158174
28,7388.32,0.7335,0.48678,0.93371,0.96328,0.89996,0.93914,0.75665,0.80036,0.46985,1.03345,0.000156065,0.000156065,0.000156065
29,7651.15,0.72729,0.47476,0.92839,0.95885,0.90122,0.94226,0.75432,0.8173,0.45617,1.03118,0.000153956,0.000153956,0.000153956
30,7915.05,0.72078,0.47468,0.92647,0.96061,0.89799,0.93836,0.75714,0.79721,0.47952,1.02777,0.000151848,0.000151848,0.000151848
31,8178.36,0.72167,0.47947,0.92495,0.95865,0.89945,0.93733,0.74856,0.82014,0.48371,1.04922,0.000149739,0.000149739,0.000149739
32,8441.03,0.71207,0.46585,0.92395,0.95668,0.90085,0.93898,0.75597,0.80108,0.45174,1.03711,0.00014763,0.00014763,0.00014763
33,8703.72,0.71291,0.46286,0.92453,0.95896,0.90435,0.93981,0.75684,0.79253,0.45253,1.03866,0.000145522,0.000145522,0.000145522
34,8967.2,0.70557,0.45843,0.92246,0.96096,0.90512,0.94065,0.75026,0.82349,0.46074,1.05716,0.000143413,0.000143413,0.000143413
35,9230.05,0.7045,0.4563,0.9229,0.96067,0.90233,0.94103,0.7567,0.80517,0.45723,1.0353,0.000141304,0.000141304,0.000141304
36,9493.24,0.69653,0.44948,0.91716,0.95969,0.90922,0.93947,0.75232,0.81261,0.44857,1.04243,0.000139196,0.000139196,0.000139196
37,9756.59,0.69309,0.44813,0.91559,0.95756,0.91239,0.94248,0.75407,0.82084,0.44404,1.04349,0.000137087,0.000137087,0.000137087
38,10020.3,0.6947,0.45003,0.91659,0.96529,0.89876,0.93729,0.75373,0.80549,0.45813,1.04042,0.000134978,0.000134978,0.000134978
39,10282.9,0.67952,0.44069,0.90958,0.95907,0.90584,0.94066,0.7571,0.80502,0.45544,1.02447,0.000132869,0.000132869,0.000132869
40,10547,0.68094,0.43935,0.90962,0.96051,0.90912,0.94221,0.75119,0.82468,0.4529,1.04154,0.000130761,0.000130761,0.000130761
41,10810.7,0.67754,0.43564,0.90695,0.95961,0.90603,0.9419,0.75674,0.80226,0.44538,1.03436,0.000128652,0.000128652,0.000128652
42,11074.8,0.66908,0.42896,0.90484,0.96178,0.90561,0.93968,0.75217,0.81509,0.47074,1.04982,0.000126543,0.000126543,0.000126543
43,11338.2,0.66535,0.4278,0.90542,0.96327,0.9088,0.94291,0.75685,0.80999,0.45573,1.04176,0.000124435,0.000124435,0.000124435
44,11602,0.66097,0.42465,0.9015,0.96177,0.9036,0.93887,0.74805,0.81745,0.45582,1.05928,0.000122326,0.000122326,0.000122326
45,11866,0.66832,0.42555,0.9062,0.96495,0.8999,0.94214,0.75737,0.80164,0.44243,1.03494,0.000120217,0.000120217,0.000120217
46,12130.2,0.65377,0.41662,0.90054,0.95949,0.90161,0.93797,0.75508,0.79647,0.46041,1.05282,0.000118108,0.000118108,0.000118108
47,12394.2,0.65129,0.41221,0.89874,0.95726,0.9064,0.93859,0.74805,0.81588,0.45279,1.04826,0.000116,0.000116,0.000116
48,12658,0.64488,0.4125,0.89698,0.96586,0.90243,0.93981,0.75541,0.7968,0.44507,1.02551,0.000113891,0.000113891,0.000113891
49,12922.2,0.6435,0.40694,0.89564,0.96186,0.90156,0.94114,0.7555,0.80043,0.44623,1.04433,0.000111782,0.000111782,0.000111782
50,13186.2,0.6416,0.40891,0.89564,0.96257,0.90168,0.94032,0.75671,0.8036,0.45052,1.0444,0.000109674,0.000109674,0.000109674
51,13449,0.63909,0.40506,0.8968,0.96442,0.9004,0.94213,0.75958,0.80277,0.44564,1.03925,0.000107565,0.000107565,0.000107565
52,13712.5,0.63344,0.39875,0.89425,0.95575,0.91423,0.93879,0.75351,0.81725,0.45364,1.0515,0.000105456,0.000105456,0.000105456
53,13976.1,0.62615,0.39403,0.89105,0.9652,0.91046,0.94329,0.75862,0.8181,0.44273,1.04513,0.000103348,0.000103348,0.000103348
54,14239.2,0.62743,0.39932,0.89269,0.96497,0.90507,0.94376,0.76108,0.80719,0.44419,1.04127,0.000101239,0.000101239,0.000101239
55,14503.8,0.62057,0.388,0.89371,0.96808,0.89987,0.94182,0.75798,0.80945,0.43773,1.04879,9.91302e-05,9.91302e-05,9.91302e-05
56,14767.7,0.61568,0.3883,0.88899,0.95928,0.90745,0.94106,0.75695,0.81541,0.43973,1.05487,9.70215e-05,9.70215e-05,9.70215e-05
57,15031.4,0.61856,0.39192,0.8876,0.96326,0.9044,0.94215,0.76023,0.81078,0.44215,1.04279,9.49128e-05,9.49128e-05,9.49128e-05
58,15294.7,0.61226,0.38179,0.88645,0.96555,0.89951,0.94087,0.75778,0.81117,0.44467,1.05144,9.28041e-05,9.28041e-05,9.28041e-05
59,15557.4,0.6113,0.38584,0.88749,0.9633,0.90471,0.93878,0.75643,0.80527,0.44098,1.04695,9.06954e-05,9.06954e-05,9.06954e-05
60,15821.1,0.60552,0.37925,0.88379,0.96511,0.90658,0.94144,0.75672,0.81455,0.43129,1.05393,8.85867e-05,8.85867e-05,8.85867e-05
61,16085.1,0.6031,0.37896,0.88391,0.96428,0.90385,0.94101,0.75908,0.80773,0.44272,1.05303,8.6478e-05,8.6478e-05,8.6478e-05
62,16348.3,0.5972,0.37395,0.88046,0.96746,0.90442,0.94098,0.75879,0.81151,0.44034,1.05408,8.43693e-05,8.43693e-05,8.43693e-05
63,16611.5,0.60109,0.37956,0.88517,0.96027,0.90448,0.93938,0.76129,0.80304,0.44847,1.0486,8.22606e-05,8.22606e-05,8.22606e-05
64,16874.9,0.59285,0.37095,0.87881,0.96077,0.90211,0.9388,0.75885,0.80542,0.44971,1.04614,8.01519e-05,8.01519e-05,8.01519e-05
65,17138.1,0.58771,0.37066,0.87804,0.96517,0.90409,0.94133,0.75826,0.81963,0.44483,1.06397,7.80432e-05,7.80432e-05,7.80432e-05
66,17401,0.58835,0.37105,0.88003,0.96901,0.90149,0.94359,0.75872,0.81786,0.4292,1.06374,7.59345e-05,7.59345e-05,7.59345e-05
67,17664.2,0.58226,0.36564,0.87553,0.96549,0.90517,0.94342,0.76069,0.80325,0.43471,1.0511,7.38258e-05,7.38258e-05,7.38258e-05
68,17927.4,0.58229,0.36837,0.8775,0.96101,0.9055,0.94353,0.76164,0.79947,0.43603,1.05315,7.17171e-05,7.17171e-05,7.17171e-05
69,18190.7,0.57371,0.35984,0.8727,0.95954,0.90829,0.94292,0.75913,0.80652,0.43662,1.05487,6.96084e-05,6.96084e-05,6.96084e-05
70,18454.4,0.57566,0.36245,0.87479,0.96047,0.91126,0.94225,0.75962,0.80971,0.43748,1.06122,6.74997e-05,6.74997e-05,6.74997e-05
71,18717.4,0.57288,0.36326,0.87397,0.96775,0.90219,0.94212,0.75626,0.81857,0.43686,1.06817,6.5391e-05,6.5391e-05,6.5391e-05
72,18980.9,0.56573,0.35555,0.87145,0.96787,0.90347,0.94242,0.75988,0.80791,0.42867,1.0575,6.32823e-05,6.32823e-05,6.32823e-05
73,19244.3,0.56344,0.35784,0.87375,0.96854,0.90132,0.94417,0.76254,0.80611,0.42457,1.05205,6.11736e-05,6.11736e-05,6.11736e-05
74,19507.3,0.55982,0.35403,0.87068,0.96181,0.90624,0.94216,0.76217,0.80442,0.42748,1.05191,5.90649e-05,5.90649e-05,5.90649e-05
75,19770.6,0.55945,0.35385,0.87025,0.96274,0.90474,0.94136,0.75767,0.80926,0.4321,1.0589,5.69562e-05,5.69562e-05,5.69562e-05
76,20033.7,0.55639,0.3515,0.86855,0.95813,0.90965,0.94119,0.75943,0.79958,0.42749,1.05479,5.48475e-05,5.48475e-05,5.48475e-05
77,20296.5,0.55424,0.34699,0.86925,0.96188,0.90609,0.94292,0.76129,0.80165,0.43277,1.05466,5.27388e-05,5.27388e-05,5.27388e-05
78,20559.5,0.54858,0.34343,0.86665,0.9573,0.90886,0.94071,0.76082,0.8043,0.43899,1.05853,5.06301e-05,5.06301e-05,5.06301e-05
79,20822.6,0.54583,0.3449,0.86729,0.96377,0.90336,0.94165,0.76222,0.80489,0.43934,1.05855,4.85214e-05,4.85214e-05,4.85214e-05
80,21085.4,0.54519,0.34285,0.86607,0.96328,0.90474,0.94115,0.75917,0.80876,0.43039,1.06405,4.64127e-05,4.64127e-05,4.64127e-05
81,21348.4,0.54294,0.34237,0.86723,0.96604,0.90321,0.94024,0.75858,0.80955,0.42961,1.06529,4.4304e-05,4.4304e-05,4.4304e-05
82,21613.9,0.53644,0.33843,0.86442,0.96166,0.90367,0.94033,0.76083,0.80183,0.43186,1.05834,4.21953e-05,4.21953e-05,4.21953e-05
83,21877.7,0.53891,0.3386,0.86584,0.96496,0.90266,0.93988,0.75986,0.80712,0.43535,1.06253,4.00866e-05,4.00866e-05,4.00866e-05
84,22141.2,0.53437,0.33599,0.86343,0.96132,0.90689,0.94085,0.76055,0.80436,0.43488,1.06143,3.79779e-05,3.79779e-05,3.79779e-05
85,22404.9,0.53239,0.33847,0.86292,0.96255,0.90466,0.94038,0.75908,0.80685,0.4353,1.06536,3.58692e-05,3.58692e-05,3.58692e-05
86,22668.4,0.5299,0.33208,0.86093,0.96288,0.90321,0.94045,0.76101,0.80407,0.43704,1.06387,3.37605e-05,3.37605e-05,3.37605e-05
87,22932.4,0.52831,0.33519,0.86153,0.96351,0.90371,0.94057,0.76122,0.8055,0.43636,1.06536,3.16518e-05,3.16518e-05,3.16518e-05
88,23195.7,0.5252,0.33164,0.86271,0.96365,0.90425,0.94132,0.76057,0.80371,0.43369,1.06625,2.95431e-05,2.95431e-05,2.95431e-05
89,23459.1,0.51944,0.32726,0.86008,0.96233,0.90556,0.94143,0.75904,0.80697,0.43424,1.06816,2.74344e-05,2.74344e-05,2.74344e-05
