epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,576.13,1.11225,1.84607,1.16411,0.8084,0.7807,0.8299,0.62415,0.94635,0.89841,1.21454,7.22398e-05,7.22398e-05,7.22398e-05
2,1155.83,0.98897,0.94875,1.10337,0.86619,0.84847,0.89045,0.67681,0.91267,0.72329,1.16806,0.000139802,0.000139802,0.000139802
3,1732.54,0.96375,0.83167,1.09013,0.88899,0.85836,0.89643,0.67936,0.91593,0.66693,1.17517,0.000202591,0.000202591,0.000202591
4,2309.19,0.9377,0.75819,1.07355,0.93475,0.86666,0.91832,0.70951,0.88735,0.62396,1.16804,0.000195517,0.000195517,0.000195517
5,2884.91,0.9174,0.70639,1.05371,0.95216,0.87613,0.92672,0.72433,0.87078,0.55551,1.1526,0.000188356,0.000188356,0.000188356
6,3459.23,0.89271,0.67323,1.05031,0.94591,0.88626,0.92914,0.7305,0.85865,0.56386,1.1503,0.000181195,0.000181195,0.000181195
7,4033.77,0.88041,0.64692,1.04477,0.94042,0.89559,0.92973,0.7244,0.87267,0.53213,1.14198,0.000174034,0.000174034,0.000174034
8,4609.38,0.87193,0.6183,1.03795,0.95452,0.89454,0.93489,0.73869,0.83116,0.51424,1.11428,0.000166873,0.000166873,0.000166873
9,5185.01,0.85253,0.59272,1.02238,0.9435,0.89866,0.93482,0.74203,0.83037,0.49304,1.13231,0.000159712,0.000159712,0.000159712
10,5760.7,0.82599,0.5869,1.02047,0.95326,0.89645,0.93578,0.7407,0.83804,0.50501,1.11522,0.000152551,0.000152551,0.000152551
11,6335.74,0.83144,0.5679,1.01737,0.95402,0.89708,0.93725,0.74436,0.849,0.51193,1.12584,0.00014539,0.00014539,0.00014539
12,6910.93,0.8092,0.54451,1.00481,0.94934,0.90727,0.9381,0.74251,0.83597,0.49862,1.14225,0.000138229,0.000138229,0.000138229
13,7486.61,0.80239,0.54734,1.00587,0.95355,0.90408,0.93713,0.74798,0.81793,0.50511,1.10953,0.000131068,0.000131068,0.000131068
14,8061.41,0.79347,0.51955,1.00051,0.95978,0.90106,0.94179,0.74165,0.85056,0.47186,1.10794,0.000123907,0.000123907,0.000123907
15,8635.73,0.77865,0.50778,0.99407,0.95521,0.90647,0.94267,0.74936,0.83403,0.45488,1.10862,0.000116746,0.000116746,0.000116746
16,9211.64,0.76627,0.49868,0.98347,0.95435,0.90392,0.93935,0.75112,0.81685,0.48475,1.10824,0.000109585,0.000109585,0.000109585
17,9788.08,0.75646,0.48743,0.97624,0.96101,0.90386,0.94199,0.7554,0.80987,0.48834,1.09252,0.000102424,0.000102424,0.000102424
18,10365.8,0.74769,0.48169,0.97608,0.95628,0.91022,0.94425,0.75299,0.80789,0.48074,1.07387,9.5263e-05,9.5263e-05,9.5263e-05
19,10941.6,0.73319,0.46638,0.96961,0.96388,0.90536,0.94404,0.75873,0.80514,0.47101,1.07571,8.8102e-05,8.8102e-05,8.8102e-05
20,568.722,0.73255,0.47297,0.96927,0.95844,0.89526,0.94052,0.74979,0.80984,0.46632,1.09438,8.0941e-05,8.0941e-05,8.0941e-05
21,1139.9,0.70272,0.35655,0.95973,0.95513,0.90985,0.94406,0.76267,0.79003,0.43324,1.06946,7.378e-05,7.378e-05,7.378e-05
22,1709.88,0.68468,0.34458,0.95256,0.96741,0.8975,0.93888,0.75593,0.79835,0.45652,1.08473,6.6619e-05,6.6619e-05,6.6619e-05
23,2280.22,0.66693,0.32834,0.941,0.96388,0.90026,0.93726,0.75664,0.80523,0.47317,1.08395,5.9458e-05,5.9458e-05,5.9458e-05
24,2849.84,0.65693,0.32197,0.93592,0.95989,0.90672,0.94289,0.75943,0.80735,0.45684,1.08289,5.2297e-05,5.2297e-05,5.2297e-05
25,3419.96,0.64822,0.31237,0.92878,0.95854,0.89764,0.93479,0.74351,0.84221,0.4895,1.12587,4.5136e-05,4.5136e-05,4.5136e-05
26,3990.13,0.63598,0.30593,0.92929,0.96174,0.89885,0.93796,0.75425,0.81286,0.47897,1.09775,3.7975e-05,3.7975e-05,3.7975e-05
27,4560.84,0.62331,0.29791,0.92154,0.96279,0.89528,0.93309,0.75228,0.80738,0.47498,1.099,3.0814e-05,3.0814e-05,3.0814e-05
28,5130.07,0.61018,0.28908,0.91348,0.96442,0.89866,0.93386,0.75488,0.81264,0.47993,1.09307,2.3653e-05,2.3653e-05,2.3653e-05
29,5699.17,0.59969,0.28307,0.91077,0.96516,0.89623,0.93237,0.75579,0.79778,0.47879,1.09852,1.6492e-05,1.6492e-05,1.6492e-05
30,6270.4,0.59158,0.28002,0.90568,0.96487,0.89631,0.93541,0.75663,0.80609,0.47865,1.10897,9.331e-06,9.331e-06,9.331e-06
